unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
107,The Starry Night,9,"At ease, but also concerned.",4 - Agree,4 - Agree,2 - Disagree,4 - Agree,3,3,10000000,"Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself",Winter,Sparkling water,Classical piano/violin music.
108,The Starry Night,7,It makes me feel wonder and appreciate the beauty and magnificence of our world.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,2000000,Living room,Family members,Winter,Caviar,Interstellar 
109,The Starry Night,6.7,"weightless, calm, ect.",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,3 - Neutral/Unsure,5,4,4000,"Bedroom,Living room","Friends,Family members,By yourself",Winter,overnight oats with blueberries,cocomelon baby lullaby something
110,The Starry Night,5,it makes me feel magical,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,2,2,500,"Bedroom,Bathroom,Office","Friends,Family members,Coworkers/Classmates",Summer,ice cream,"generally light and calm, with a certain peak that has major note"
111,The Starry Night,8,"happy, hopeful, excited",3 - Neutral/Unsure,5 - Strongly agree,4 - Agree,2 - Disagree,4,12,1000000,Living room,"Friends,Family members",Spring,an ice popsicle,a piano scale
112,The Starry Night,3,the paint technique feels offputting since it's all in lines,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2,2,0,Bathroom,Friends,Winter,hot chocolate,slow and calm sounding with light instruments
113,The Starry Night,8,joyous,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,50,Living room,"Friends,Family members","Spring,Summer",juice,mythical and mysterious
114,The Starry Night,9,"It made me feel novel and very interesting. Although the pictures were unusual, they still aroused my great interest.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,3,3,200 bucks,Living room,Friends,Summer,A strangely shaped cake,The rhythm is lively and the tone is high.
115,The Starry Night,6,It makes me feel calm. The background is dramatic and makes me feel like I am in a dream and the world is spinning.,3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,3,2,500,Living room,Family members,Summer,Donut.,"Slow paced, dramatic."
116,The Starry Night,7,"A sense of longing, sadness",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,3,3,5000000,"Bedroom,Living room","Family members,By yourself",Winter,Ice cream,"Smooth, slow, melancholic"
117,The Starry Night,7,"feels in awe, the sky looks interesting. would want to see it in person.",3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,3,3,50,Living room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,fish and chips because of the town energy.,still piano playing some engaging and mysterious tone.
118,The Starry Night,10,"Dizzy, a little bit unwell, but also felt peaceful at the same time",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,2,3,1000,Bedroom,"Friends,Family members",Summer,chocolate pie,I hear the relaxing sound of blowing wind 
119,The Starry Night,7,"This painting makes me feel incredibly peaceful and happy. The rich blue colors feel very comforting to me, not cold at all. Seeing the small, warm lights in the village houses makes me feel a sense of safety and warmth. Even though the sky is moving with wind, the bright stars make the night look magical and beautiful, not scary. It feels like a perfect, dreamy night.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,5,3,5000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Strangers,By yourself",Winter,"A dark blueberry swirl cake with bright lemon zest on top. It tastes rich, cool, and slightly sharp.","An orchestral piece with sweeping violins playing fast, repetitive notes to mimic the swirling wind, accompanied by a deep, steady cello for the sleeping village below."
120,The Starry Night,9,peaceful and gloomy,5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,5,4,"10,000","Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,mooncake,"sound of a piano, harp, and triangle"
121,The Starry Night,6,it make me feel calm and relax,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,5,6,"100,000",Bedroom,"Friends,Family members",Summer,cake,peaceful and calm music
122,The Starry Night,6,夜色看似黑暗而静谧，但实际上画中的每一处都躁动不安。月亮和星星闪耀，房屋灯火通明，人们尚未入睡。这幅画仿佛在漂浮，躁动不安地漂浮着。,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,2 - Disagree,3,4,50000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers",Summer,黑咖啡,"速度：中慢

整体节奏较慢

主旋律主要以级进和连奏为主。"
123,The Starry Night,7,"Whimsical. Magical. Cold, but not in a bad way. Calm. Sleepy? Relaxed.",3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,$250,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Winter,Croissant. Oatmeal. Ice cream.,Classical music. Music box. Xylophone. Triangle. Mystical feeling.
124,The Starry Night,10,I feel an unnerving sense of chrysalism as the distorted sky exhibits illusionary movement over the tranquility of the village below.,5 - Strongly agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,4,"Starry night is valued in the billions, so I would be willing to pay about $150","Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Fall,blue pasta,I think the 808s and trap synths on Sicko Mode would be perfect to encapsulate the emotions that this painting conveys. Something that is vivacious and lively to create contrast with the sombre blues.
125,The Starry Night,8,"This painting makes me feel awe and wonder. The swirling sky and glowing stars feel magical and infinite, and it reminds me of why I love space so much.",2 - Disagree,5 - Strongly agree,4 - Agree,2 - Disagree,5,4,"$1,000","Living room,Dining room","Friends,Family members,By yourself",Winter,A bowl of spaghetti or ramen,"A soft and dreamy soundtrack with gentle piano and a more sparkly tone. It would feel calm, wondrous and also powerful. The music would slowly build into a wave of emotion, then settle back into quiet awe."
126,The Starry Night,5,"relaxed, happy, content, ",3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,500,Bedroom,By yourself,Summer,"a condensed milk cake, like tres leches",la la land soundtrack
127,The Starry Night,3,dizzy,1 - Strongly disagree,5 - Strongly agree,3 - Neutral/Unsure,4 - Agree,4,3,1000,Bedroom,Friends,Winter,cereal,interstellar
128,The Starry Night,3,Chaotic and confused,3 - Neutral/Unsure,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,3,3,15,"Bedroom,Office,Dining room","Friends,Family members",Winter,Cold Spaghetti,"Very chaotic and noisy, with many components and things playing at the same time"
129,The Starry Night,7,confused,2 - Disagree,2 - Disagree,4 - Agree,2 - Disagree,5,3,15,Bedroom,Family members,Winter,ice cream,"calm, cold."
130,The Starry Night,6,Calm,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,100,Bedroom,Family members,Winter,Cheese,Jazz
131,The Starry Night,6,"cold, dark, waves, tired, slow",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,2,2,100000,Dining room,Family members,Winter,plum,"whooshing, powerful, blending, piano, wide range"
132,The Starry Night,8,"It feels familiar, since almost everyone recognizes this artwork, but it also gives me a strong sense of warmth and comfort. The flowing movement makes it feel alive, while the colors create a calm, reassuring atmosphere.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,4,20000,Living room,"Friends,Family members,Coworkers/Classmates,Strangers",Summer,cake,"Warm, slightly detuned pads with lively, cheerful breaks. The rhythm stays light and buoyant, with a gentle lift that makes it feel vividly alive."
133,The Starry Night,7,Calm,3 - Neutral/Unsure,3 - Neutral/Unsure,5 - Strongly agree,2 - Disagree,3,2,"Copy: 0. Original, 100$","Bedroom,Bathroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",boiled leafy greens,piano quiet and constant rhythms
134,The Starry Night,3,"The painting makes me feel both calm but also a little restless. The scene is peaceful, but there is also a lot of movement in the sky, which makes me feel a little restless and curious.",4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,3,3,500,Office,By yourself,Winter,Steak,"The music in the soundtrack is slow and flowing with a continuous background sound. While the background always stays, there is also a more intense melody that plays on top of it."
135,The Starry Night,8,"fancy, curious, calm",3 - Neutral/Unsure,4 - Agree,4 - Agree,3 - Neutral/Unsure,3,4,50,"Bedroom,Dining room","Family members,Coworkers/Classmates",Summer,banana,"calm, jazz"
136,The Starry Night,10,"it gives me a feeling of a very chill night that i'd like to spend with my girlfriend along with cocktails. I would be imagining how the stars and comits flow, feeling how large and endless the universe is. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,5,"100,000,000",Bedroom,"Friends,Family members",Summer,pasta,would be slow drums and string music which sound like jumping in different space
137,The Starry Night,9,It's a windy but warm summer night with sky full of stars. The drifting lights in the sky is the form of my joy. I have a joyful life with love and hope. ,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,2 - Disagree,3,3,"20,000","Bedroom,Living room","Friends,Family members",Summer,polpo e fagioli,joyful orchestra
138,The Starry Night,6,"Calm, mysterious.",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,3,3,100000,"Bedroom,Office","Friends,Family members","Spring,Summer","Cake

 ",Wind flow through forest
139,The Starry Night,7,This painting makes me feel calm but a bit anxious at the same time since the swirls look like wind (perhaps a storm is coming).,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,3,3,200,"Bathroom,Living room","Friends,Family members",Winter,Squid ink pasta,It would be a deeper tone but sometime fast and sometimes slow
140,The Starry Night,7,"This painting makes me feel solemn and calm, as though I am sharing the beautiful view with only my thoughts. It feels as if I am gazing at the world below, experiencing a quiet moment of peace with myself.",4 - Agree,4 - Agree,4 - Agree,1 - Strongly disagree,4,13,$70,"Bedroom,Office,Living room","Friends,Family members,Coworkers/Classmates,By yourself",Winter,Cream Puff,"I imagine the soundtrack having a peaceful, soothing melody, with subtle changes in tempo as the music progresses. I envision a blend of percussion and string instruments, harmonized to create a gentle, whimsical tone."
141,The Starry Night,6,"dazed, turmoil, nostalgic",4 - Agree,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,6,4,"1,000,000,000","Bedroom,Living room","Family members,Strangers",Fall,porridge,"A symphonic piece with a deep bass in the back and a fluid, rolling melody by violin in the front."
142,The Starry Night,4,"It makes me feel happy, and calm.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,2,250000,Office,"Friends,Family members,By yourself",Summer,It would be pizza,The soundtrack that best represents this painting is a more upbeat song played by piano.
143,The Starry Night,9,it makes me feel excited yet calm,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,4,30,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Summer,Winter",Warm soup,"Crisp, light notes with calming strings"
144,The Starry Night,7,"ill and peaceful,  I know he's a great artist but I don't get it, especially his abstract pieces felt like 8 year old painting?",4 - Agree,2 - Disagree,4 - Agree,4 - Agree,2,2,"1000000$? only that is actual painting and I can resell it, not that I have that much money.","Bedroom,Living room","Strangers,By yourself",Winter,blueberry,snowing wind blowing sound at cold night.
145,The Starry Night,7,Hopeful,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,5,3,1000,Bedroom,By yourself,Summer,Bruschetta,Acoustic yet upbeat
146,The Starry Night,7,"somber, gloomy",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,7,4,20,"Bedroom,Bathroom,Office","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,blueberries,"something very sharp, like violins. very gloomy sort of soundtrack. "
147,The Starry Night,6,this painting makes me feel serene and interconnected to the world.,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,5,200,"Bedroom,Dining room","Friends,Family members",Summer,chicken noodle soup,"the dynamics would be rather mild, with a thin texture, i.e., few instruments. Rather pleasant and consonant."
148,The Starry Night,6,It make me feel miserable and depressed.,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,4,4,20000,Bathroom,Strangers,Winter,chocolate,The music should be more intense and deep.
149,The Starry Night,3,good,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,2,40,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,bagel,"calm, soft, sad"
150,The Starry Night,6,"Makes me feel calm, mysterious, there is a sort of mystique about the town that is painted there.",3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,4,3,30000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Ice cream,"Cool, calm, techno, maybe house music. Maybe some violins in the background."
151,The Starry Night,9,I feel hopeful and calm. I also feel peaceful.,1 - Strongly disagree,4 - Agree,5 - Strongly agree,2 - Disagree,3,3,50,"Bedroom,Office,Living room","Friends,Family members","Spring,Summer",Soup,"The soundtrack is melodic and very pleasing to listen to. It is a quiet soundtrack, mainly piano, and has many parts that go up and down."
152,The Starry Night,1,Dizzy,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,3,1,1,Bathroom,By yourself,Fall,A bug,Choir
153,The Starry Night,5,I feel relax,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,100,Office,By yourself,Winter,blueberry,Neo-classical
154,The Starry Night,9,impressed,3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,2,2,100,Bedroom,"Friends,Family members,By yourself",Summer,peppermint ice cream,calm
155,The Starry Night,9,"This painting evokes a very calm yet somewhat melancholic feeling in me. The hazy night gives it a somber hue, but the bright, swirling night sky inspires endless imagination and dreams. Looking at this painting, I feel as if I'm trapped in a dream, utterly at peace.",3 - Neutral/Unsure,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,4,3,50000,Bedroom,"Friends,Family members",Fall,Blueberry,"I want to pair this painting with a quiet, somber melody, accompanied by soft chanting. I want to create a tranquil and somber atmosphere, while also imbuing it with a sense of mystery."
156,The Starry Night,5,It makes me feel like things are constantly moving and that they are always changing. Also that there is a lot in the universe that we don't understand but just observe.,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,4,4,"300,000","Bedroom,Living room,Dining room","Friends,Family members","Spring,Summer",A big lollipop,Music with background of rain falling and leaves rustling. Something calming.
157,The Starry Night,3,Calming,2 - Disagree,4 - Agree,4 - Agree,3 - Neutral/Unsure,3,3,100,"Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Apple pie.,"Lively, fantastical, mythical."
158,The Starry Night,7,"hopefull, there are bigger things in the universe making your problems seem small",2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,5,1000,Bedroom,"Friends,By yourself",Spring,linguine pasta with zucchini,chopin nocturne vibes
159,The Starry Night,7,I like the painting but I almost want to say that it makes me feel overwhelmed. Possibly due to the numerous distinct lines.,2 - Disagree,3 - Neutral/Unsure,1 - Strongly disagree,2 - Disagree,4,12,$100 CAD,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Blueberries,Strong winds blowing.
160,The Starry Night,6,"Overwhelmed by vast beauty, but lonely",4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,2,300,"Bedroom,Bathroom,Office,Living room,Dining room","Strangers,By yourself",Winter,Meringue,"Peaceful piano intermingled with soaring strings, like C418's ""Alpha"""
161,The Starry Night,7,"Whimsical, bright, inspiring, nostalgic",5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,200,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers",Winter,Beef Wellington,"Calm, sleepy, wispy, slow, instrumental"
162,The Starry Night,10,exciting,2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4,4,500,"Bedroom,Bathroom","Friends,Family members,Coworkers/Classmates,By yourself","Summer,Winter",ice cream,piano
163,The Starry Night,6,This painting makes me feel wonder and happiness about the night sky. It makes me feel adventurous like I'd want to travel to see how else nature can be beautiful.,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,100,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Summer,Winter",ice cream with sprinkles,The soundtrack would consist of piano and string instruments that would evoke feelings of grandeur. The piano would be quiet but lively and the strings would be slow and ambient.
164,The Starry Night,9,"This painting makes me feel wonder and hopeful, an optimistic nihilism. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,3,"1,000,000 ","Bedroom,Living room,Dining room",By yourself,Spring,Mango smoothie,"Classical music, violins, hopeful"
165,The Starry Night,5,"This painting makes me feel calm, peaceful, comforted, reflective, and quiet. ",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,2,4,"1,000,000 (can't afford it)",Bedroom,"Friends,By yourself","Summer,Fall",cotton candy,"a single guitar or accordion melody. calm and gentle, a little playful and uneven, improvised playing. "
166,The Starry Night,5,"When I was 13, my mom had a Starry Night phone case. I loved it because the colouring and the flow were so fascinating.

 

Now, when I stare at this painting, I wish the flows were moving. I even tried to squint and see if the flows are moving in the illusion. Unfortunately, they did not.

 

The village under the sky seems so harmonic and peaceful. However, it also seems like a glass dome that people from this village are too innocent to know that if they leave this village, they will feel uncomfortable adapting to the bigger world.",3 - Neutral/Unsure,4 - Agree,4 - Agree,1 - Strongly disagree,3,4,20 bucks. I met a street painter in LA who painted it with graffiti spray charged people with this price.,Bedroom,Friends,Summer,Blueberries. The flows can be imagined as the explosion of the blueberries after one bite.,I cannot find a soundtrack for this painting.
167,The Starry Night,4,"It makes me feel calm, safe, and a sense of community.",2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,2,4,$100,"Living room,Dining room","Friends,Family members","Spring,Winter",Sushi,"The soundtrack would have bells, similar to church bells. It would be rhythmic and warm."
168,The Starry Night,8,This painting makes me feel amazed. It feels as if I am being drawn into the picture. ,4 - Agree,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,4,4,8000,"Living room,Dining room","Friends,Family members",Winter,Cake,"It would be a soundtrack that starts off quiet, but gradually increases in volume and and layers as the soundtrack goes on. The soundtrack would be slow and calming."
169,The Starry Night,6,Lighthearted and peaceful. ,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,3,I would estimate the value of this painting to be around 300 million. ,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates","Summer,Winter",A light soup. ,"A soothing but lighthearted song, similar to a mix between ""Silent Night"" and ""Drive"". "
170,The Starry Night,5,Peaceful,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,5,6,400,"Bedroom,Office,Dining room","Friends,Coworkers/Classmates,Strangers",Winter,steak,"Slow, peaceful calm music"
171,The Starry Night,6,This painting makes me feel serene and at peace. ,4 - Agree,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,2,2,15,"Bedroom,Office,Living room","Friends,Family members",Summer,Blueberries,"Piano, melodious, calm"
172,The Starry Night,7,It feels very calm and relaxing.,2 - Disagree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,3,2,5000,Living room,By yourself,Summer,Coffee,"Somewhat cheerful, yet still calm music."
173,The Starry Night,6,"The swirls in the night sky are captivating, and the glowing stars and moon outweigh the slightly ominous-looking tree in the foreground. It doesn't make me feel calm or content, but it does give the same effect as looking at the night sky -- something akin to getting swallowed, but peacefully. ",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,5,2,"Thereotically if I had this amount to spend on a painting - 100,000",Bedroom,"Friends,Family members","Fall,Winter",Cold milk tea,"Full of classical pieces from the romantic era, heavily featuring the violin or piano, and most of it would be Chopin."
174,The Starry Night,5,"This painting makes me feel calm, sleepy and a bit happy.",2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,2 - Disagree,3,2,1000000,"Bedroom,Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Summer,Winter",Pasta,A Matter of Time
175,The Starry Night,9,"The painting gives off a magical feel, and makes you feel awake, as if you're watching the world pass by. There's also a level of self awareness and clarity that you get when looking at the image itself.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,1 - Strongly disagree,4,3,50,"Bedroom,Office,Living room","Friends,Family members,Coworkers/Classmates","Spring,Fall",Soup,"The music would probably involve a crescendo or increase in the volume, accompanied by many instruments in the orchestra and in general, a fast tempo and a variety of different instruments. "
176,The Starry Night,6,Awestruck,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,45$,Bedroom,"Friends,Family members",Winter,"pasta, specifically white sauce pasta",clear but soft metal sounds that reverberate 
177,The Starry Night,2,"The peaceful and quiet night, gazing at the starry sky, brings a sense of serenity and calm. A relaxing and leisurely evening life.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,12,18,1000,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Summer,Pudding Cake,"Relaxed rhythm, cheerful melody, beautiful and peaceful lyrics."
178,The Starry Night,5,"Happy, excited, vibrant.",1 - Strongly disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,3,3,"100,000","Bedroom,Living room,Dining room","Friends,Family members",Summer,Pastry,A lively symphony piece
179,The Starry Night,5,The painting makes me feel calm and peaceful.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,4,50,Office,Family members,Winter,beef stew,The soundtrack would be slow and calm.
180,The Starry Night,6,"It makes me feel calm, relaxed, and sleepy.",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,3,2,I would pay $200 for this painting.,"Bedroom,Bathroom,Living room","Friends,Family members,By yourself","Summer,Fall",It would be warm milk with honey.,"The soundtrack for this painting would be classical music played on the piano. It would be slow, pleasant, and whimsical."
181,The Starry Night,4,"This painting makes me feel reflective, appreciative, calm, and nostalgic.",2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,2,"Disregarding the fame of this painting, I would be willing to pay $50 for this painting. This is more than average that I would spend on a painting, since I am not someone who usually buys art.","Bedroom,Bathroom,Office,Living room,Dining room","Friends,By yourself","Fall,Winter",Something like a fancier beef stew.,A lively piano track.
182,The Starry Night,2,The painting makes me feel calm.,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,3,3,I would pay $200 for this painting.,"Office,Living room","Friends,Family members",Summer,"If this painting was a food, I would describe it as a chocolate cake.",Lofi hip hop is what I imagine when viewing this painting.
183,The Starry Night,6,"calm, relaxed, curious",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,500,Bedroom,"Friends,Family members",Summer,eclair,a nocturne on piano
184,The Starry Night,7,It bring me a feeling of dizzy ,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,3,3,10 billion ,"Bedroom,Bathroom",Family members,Summer,Cocktail ,Sound of wind 
185,The Starry Night,3,Sleepy and gloomy,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,10000,Bathroom,"Friends,Family members","Summer,Fall",Ramen,Calm and peaceful sounding
186,The Starry Night,7,"Calm, peaceful, and content in the quiet and mild kind of way.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,100,"Bedroom,Office,Living room,Dining room","Friends,Family members","Spring,Fall",blueberry yogourt,"A smooth, quiet piano melody in the major key, like the kind that you would fall asleep to."
187,The Starry Night,8,"The painting makes me feel restless, as it appears to be constantly moving due to the strokes of the wind and the hills. The sky appears to hypnotize with the swirling wind and stars. There is also a sense of darkness in the painting with the dark force of nature branching into the sky, far above the settlements. ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,3,3,$50. It's a famous painting.,"Bedroom,Office,Living room","Friends,Coworkers/Classmates",Winter,"Dark chocolate, bitter and darkly colored.","Soft, sombre tone that increases in volume and frequency, leading to a crescendo of sound."
188,The Starry Night,9,This painting makes me excited about life. It makes me want to explore places where I never went to before. It makes me want to deeply fall in love with someone and take awesome adventures together. ,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,1000,Bedroom,"Family members,By yourself","Fall,Winter",durian,"This sound track would be played by an orchestra, with violin as the main lead for the melody. The sound track would sound pensive and hopeful. The melody would sound smooth and beautiful, with natural rises and falls in volume mimicking the ebbs and flows of nature."
189,The Starry Night,5,"It makes me feel nice, it is a pretty sight to look at. It makes me imagine real life since it is shares some resemblance to it and elevates the view in a unique way. It is really cool and pretty.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,5,3,40$,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Fall,Winter",Blueberry frozen yoghurt,"The soundtrack would be dark and mysterious, but not in a scary way, in a cool way. It would have lots of sharps and black keys that seem aggressive to keep the song interesting. But it would be a nice song to listen to on a cold winter day."
190,The Starry Night,4,Calm and peaceful as if I'm actually looking at a starry night.,5 - Strongly agree,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,2,2,"$700,000",Living room,"Coworkers/Classmates,Strangers",Fall,Filet mignon steak,Soft and slow violin. Maybe a piano.
191,The Starry Night,4,"I feel not bad. In the quiet night, the sky doesn't seem static, but rather slowly moving; this view made me appreciate the beauty of the night sky.Very soothing and stress-relieving",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,5,3,around 100 dollars,"Bedroom,Bathroom","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer,Fall","Steak. The food isn't particularly brightly colored,visually striking, or eye-catching, but the taste is surprisingly delightful and enjoyable.","The music is very soothing and relaxing, like a lullaby, which can help you drift off to sleep comfortably."
192,The Starry Night,6,Awed and contented,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,4,$60,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Potato leek soup,Like a calmer version of Smetana's The Moldau
193,The Starry Night,7,worried,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,1,$500,"Office,Living room,Dining room","Family members,By yourself",Fall,bread,an intense soundtrack 
194,The Starry Night,6,"this painting makes me feel a little dissy, even though it is a famous art work it doesn't really bring calm to me. However, it is a very special painting that I will stop by and look at it and try to feel what the painter is trying to express. ",4 - Agree,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,7,5,"$10,000","Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Winter,swirling blue berry smoothie bowl because it will just look liek the painting. ,the background music of interstellar 
195,The Starry Night,5,Very cozy,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,12,6,200,"Bedroom,Office,Living room,Dining room",Family members,"Fall,Winter",Chicken noodle soup,A very calming classical piano melody
196,The Starry Night,9,"It makes me feel a bit chaotic, as though I were in a fever dream or drunk. It feels very whimsical.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,3,3,400,Living room,"Family members,By yourself",Summer,Macaron,A classical song with a violin and trombone in the background paced somewhat faster than the average song.
197,The Starry Night,9,anxious depressed,5 - Strongly agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,3,2,"$1,200,000",Living room,Family members,Winter,spicy chicken,personal struggles with mental health
